"N_Habitaciones","N_Baños","N_Estacionamientos","Total_Superficie_M2","Superficie_Construida_M2","Valor_CLP"
"5","6","3","5000","440","418118"
"6","6","6","5000","430","445536"
"3","3","0","2027","140","353001"
"8","6","0","5000","480","736848"
"3","2","3","5000","196","311875"
"3","2","0","5000","170","404409"
"3","2","4","2600","140","337579"
"5","4","0","5000","650","495230"
"5","3","0","5000","404","565488"
"6","4","0","5015","440","570628"
"7","5","0","5000","300","514080"
"6","5","2","5000","250","856800"
"3","1","2","300","50","97606"
"3","2","0","5000","443","380800"
"3","2","2","109","80","109480"
"4","3","2","260","142","180880"
"3","1","1","150","80","105910"
"5","2","2","276","83","160650"
"4","2","0","134","149","124950"
"4","2","1","320","120","164220"
"3","1","2","108","216","97580"
"5","3","3","250","140","178500"
"3","1","2","264","89","115430"
"3","1","1","162","91","91630"
"3","2","2","126","76","115430"
"3","2","0","120","82","138040"
"3","2","3","130","80","113050"
"3","2","0","100","85","101150"
"9","8","3","268","218","251213"
"2","1","3","1050","85","171360"
"4","2","1","456","198","113050"
"4","3","3","560","120","166600"
"2","1","1","162","65","61880"
"3","3","0","5000","230","442108"
"5","5","0","5000","310","418880"
"4","3","0","5000","260","565488"
"5","5","0","140","460","336139"
"5","5","0","5000","640","1884960"
"4","3","2","5400","150","222768"
"3","3","2","120","90","115430"
"5","7","5","5000","468","891072"
"3","2","0","8509","190","925344"
"8","5","0","7200","365","565488"
"5","4","0","5160","360","575769"
"4","3","0","5000","235","315645"
"5","4","0","5000","230","510652"
"5","4","0","5016","218","445193"
"6","7","0","5000","265","719712"
"4","3","0","5800","320","651168"
"4","2","0","5400","191","221054"
"6","5","0","5010","369","634032"
"4","4","4","7200","230","565488"
"6","6","0","20","560","1196092"
"4","3","0","5000","290","302895"
"6","4","0","5013","362","617787"
"5","4","0","8000","500","668304"
"3","1","1","8977","45","41650"
"8","8","8","5800","700","1028160"
"8","4","0","5145","300","273700"
"4","4","0","6000","320","668304"
"2","1","3","115","46","51170"
"6","","0","5787","310","380800"
"3","1","1","166","82.73","68425"
"4","3","0","5800","320","651168"
"4","2","0","5000","200","244188"
"6","4","0","5000","355","658570"
"4","7","0","5400","400","578854"
"3","1","0","5200","130","190400"
"6","4","0","5100","470","407494"
"5","5","0","5000","570","438681"
"2","1","1","130","73","47600"
"4","3","0","5498","239","462329"
"6","6","0","20000","560","1196092"
"4","6","0","5400","400","595990"
"6","5","0","6200","450","618800"
"4","4","0","5600","400","442108"
"3","3","0","5000","140","267750"
"5","4","0","5230","530","856800"
"4","2","3","185","120","85680"
"4","2","2","181","114","136850"
"5","2","3","189","171","196350"
"6","2","3","200","140","166600"
"3","1","2","212","76","116620"
"3","2","0","160","103","142800"
"3","2","2","164","122","107100"
"3","3","3","200","160","255850"
"3","1","0","340","160","124950"
"4","2","0","134","123","172550"
"2","1","0","200","96","89250"
"3","1","7","210","66","178500"
"3","1","0","115","77","84490"
"3","2","0","175","120","113050"
"4","2","0","180","134.95","154700"
"4","2","4","180","135","154700"
"3","2","0","266.5","131.6","166600"
"3","2","2","180","189","110670"
"5","2","3","180","171","190400"
"2","0","0","170","60","79730"
"2","1","0","250","225","388416"
"2","1","0","500","0","226100"
"5","3","0","200","170","297500"
"6","2","0","300","200","154700"
